"res_val","AIC_vals","r2_vals","Scenario"
7900,801.018986479911,0.657812723258422,"Natural corridors no rivers"
8100,801.132678806356,0.64537791452941,"Natural corridors no rivers"
8300,801.257578156876,0.631717366076878,"Natural corridors no rivers"
8500,801.432383444538,0.612598482816584,"Natural corridors no rivers"
8700,801.401034221059,0.616027224315319,"Natural corridors no rivers"
8900,801.264625050238,0.630946630057716,"Natural corridors no rivers"
9100,801.112934067446,0.64753744507493,"Natural corridors no rivers"
9300,800.99949547143,0.659944502684329,"Natural corridors no rivers"
9500,801.024824323146,0.657174224018509,"Natural corridors no rivers"
9700,800.773420779962,0.684670846447055,"Natural corridors no rivers"
9900,800.452150374486,0.719808979048353,"Natural corridors no rivers"
10100,800.180800870491,0.749487140155458,"Natural corridors no rivers"
10300,799.971845767964,0.772341072466476,"Natural corridors no rivers"
10500,799.697346360494,0.802363746246082,"Natural corridors no rivers"
10700,799.568727466875,0.816431110254712,"Natural corridors no rivers"
10900,799.579868777766,0.815212557743272,"Natural corridors no rivers"
11100,799.56111060871,0.81726418472291,"Natural corridors no rivers"
11300,799.583339331023,0.814832974817237,"Natural corridors no rivers"
11500,799.766250382678,0.794827544258647,"Natural corridors no rivers"
11700,800.044804013573,0.764361450114548,"Natural corridors no rivers"
11900,800.238228477232,0.743206141886521,"Natural corridors no rivers"
12100,800.415675648512,0.723798309332147,"Natural corridors no rivers"
12300,800.610315562956,0.702510064269202,"Natural corridors no rivers"
12500,800.846342121401,0.676695260394733,"Natural corridors no rivers"
12700,801.123730874603,0.646356571782347,"Natural corridors no rivers"
12900,801.389050199992,0.617337946106589,"Natural corridors no rivers"
13100,801.641278238292,0.589751146624051,"Natural corridors no rivers"
13300,801.799343349147,0.572463177579252,"Natural corridors no rivers"
13500,801.86588103961,0.565185787098799,"Natural corridors no rivers"
13700,801.929274249063,0.558252316222529,"Natural corridors no rivers"
13900,801.9866875106,0.551972886923757,"Natural corridors no rivers"
14100,802.117445754395,0.537671536936801,"Natural corridors no rivers"
14300,802.388023121813,0.508077826301823,"Natural corridors no rivers"
14500,802.413860502749,0.505251928547379,"Natural corridors no rivers"
14700,802.444955499353,0.501850992465891,"Natural corridors no rivers"
14900,802.45159570645,0.501124736721548,"Natural corridors no rivers"
15100,802.449896993042,0.501310529175392,"Natural corridors no rivers"
16100,802.18929973049,0.529812691251341,"Natural corridors no rivers"
20100,799.95699762524,0.773965050271619,"Natural corridors no rivers"
24100,799.687099060362,0.803484518607056,"Natural corridors no rivers"
28100,801.949185313016,0.556074594298939,"Natural corridors no rivers"
32100,803.098075628987,0.430417641218861,"Natural corridors no rivers"
36100,803.114638004554,0.428606173561252,"Natural corridors no rivers"
100,805.563499072158,0.160768229421759,"Natural corridors with rivers"
300,794.061339583766,1.41878763741934,"Natural corridors with rivers"
500,781.695790983835,2.77123803118683,"Natural corridors with rivers"
700,781.56389423497,2.78566390226707,"Natural corridors with rivers"
900,775.662642857951,3.43109824624868,"Natural corridors with rivers"
1100,772.63102093773,3.76267417485566,"Natural corridors with rivers"
1300,772.245871271142,3.80479893899589,"Natural corridors with rivers"
1500,772.117371428972,3.81885328205535,"Natural corridors with rivers"
1700,770.180547282275,4.03068849168544,"Natural corridors with rivers"
1900,771.175895831127,3.92182477844613,"Natural corridors with rivers"
2100,772.68357692428,3.75692599764134,"Natural corridors with rivers"
2300,775.836085001835,3.41212845336837,"Natural corridors with rivers"
2500,777.154501610799,3.26792999362898,"Natural corridors with rivers"
2700,775.224983098075,3.47896616814448,"Natural corridors with rivers"
2900,774.272788197867,3.58311006093844,"Natural corridors with rivers"
3100,774.792828616563,3.52623196423646,"Natural corridors with rivers"
3300,777.069424698756,3.27723506426645,"Natural corridors with rivers"
3500,778.966072634815,3.06979402538079,"Natural corridors with rivers"
3700,780.637845485518,2.8869481263937,"Natural corridors with rivers"
3900,782.790251797731,2.65153416631139,"Natural corridors with rivers"
